-48.38729476,-27.44312858,3.70,20.33495903,10/02/2025 07:07:43 ,Position 95,
-48.38729476,-27.44302368,3.70,20.39052009,10/02/2025 07:07:45 ,Position 96,
-48.38729095,-27.44297218,4.10,20.42755889,10/02/2025 07:07:46 ,Position 97,
-48.38728713,-27.44292068,4.50,19.83492088,10/02/2025 07:07:47 ,Position 98,
-48.38728713,-27.44286727,4.40,20.18680000,10/02/2025 07:07:48 ,Position 99,
-48.38728713,-27.44281578,4.40,20.33495903,10/02/2025 07:07:49 ,Position 100,
-48.38728332,-27.44276428,4.40,20.16828155,10/02/2025 07:07:50 ,Position 101,
-48.38728332,-27.44271278,4.30,20.40904045,10/02/2025 07:07:51 ,Position 102,
-48.38728332,-27.44265937,4.40,20.09420013,10/02/2025 07:07:52 ,Position 103,
-48.38728332,-27.44260787,4.10,20.77943992,10/02/2025 07:07:53 ,Position 104,
-48.38728713,-27.44255447,4.00,20.74239921,10/02/2025 07:07:54 ,Position 105,
-48.38728332,-27.44244766,4.20,20.14975929,10/02/2025 07:07:56 ,Position 106,
-48.38727951,-27.44239616,4.00,19.89048004,10/02/2025 07:07:57 ,Position 107,
-48.38727951,-27.44234848,3.80,19.79787826,10/02/2025 07:07:58 ,Position 108,
-48.38727951,-27.44229507,3.80,20.63128089,10/02/2025 07:07:59 ,Position 109,
-48.38727951,-27.44224357,3.60,19.72379875,10/02/2025 07:08:00 ,Position 110,
-48.38727951,-27.44219207,3.50,20.26087951,10/02/2025 07:08:01 ,Position 111,
-48.38727951,-27.44214248,3.20,20.02012062,10/02/2025 07:08:02 ,Position 112,
-48.38727951,-27.44209289,3.20,20.07567977,10/02/2025 07:08:03 ,Position 113,
-48.38727569,-27.44203948,3.10,19.96455955,10/02/2025 07:08:04 ,Position 114,
-48.38727188,-27.44198799,3.10,19.94604110,10/02/2025 07:08:05 ,Position 115,
-48.38726806,-27.44188880,2.90,20.81647872,10/02/2025 07:08:07 ,Position 116,
-48.38726806,-27.44183540,2.40,21.03871917,10/02/2025 07:08:08 ,Position 117,
-48.38726425,-27.44178199,3.00,19.92752075,10/02/2025 07:08:09 ,Position 118,
-48.38726043,-27.44173240,2.70,20.13123893,10/02/2025 07:08:10 ,Position 119,
-48.38725662,-27.44168472,2.60,19.11263847,10/02/2025 07:08:11 ,Position 120,
-48.38725280,-27.44163513,2.80,18.39035987,10/02/2025 07:08:12 ,Position 121,
-48.38725280,-27.44159126,2.50,17.72363853,10/02/2025 07:08:13 ,Position 122,
-48.38724899,-27.44154930,2.60,16.27907943,10/02/2025 07:08:14 ,Position 123,
-48.38724899,-27.44151306,2.40,13.35292053,10/02/2025 07:08:15 ,Position 124,
-48.38724899,-27.44148826,2.30,9.59335994,10/02/2025 07:08:16 ,Position 125,
-48.38724517,-27.44146347,2.40,1.75939998,10/02/2025 07:08:18 ,Position 126,
-48.38724517,-27.44146156,2.70,0.87044000,10/02/2025 07:08:19 ,Position 127,
-48.38724517,-27.44145965,2.80,0.12963999,10/02/2025 07:08:20 ,Position 128,
-48.38724517,-27.44145965,2.80,0.03703999,10/02/2025 07:08:21 ,Position 129,
-48.38724899,-27.44145774,2.70,0.07407999,10/02/2025 07:08:22 ,Position 130,
-48.38724899,-27.44145965,2.70,0.27780003,10/02/2025 07:08:23 ,Position 131,
-48.38724899,-27.44145965,2.60,0.09260001,10/02/2025 07:08:24 ,Position 132,
-48.38724899,-27.44145965,2.80,0.07407999,10/02/2025 07:08:25 ,Position 133,
-48.38725280,-27.44145774,3.00,0.05556000,10/02/2025 07:08:26 ,Position 134,
-48.38725280,-27.44145774,3.00,0.14815999,10/02/2025 07:08:27 ,Position 135,
-48.38725662,-27.44145584,3.10,0.16668000,10/02/2025 07:08:28 ,Position 136,
-48.38725662,-27.44145584,3.30,0.05556000,10/02/2025 07:08:30 ,Position 137,
-48.38726043,-27.44145011,3.40,2.62983989,10/02/2025 07:08:31 ,Position 138,
-48.38726043,-27.44144058,3.20,5.66711997,10/02/2025 07:08:32 ,Position 139,
-48.38725662,-27.44142341,3.00,7.00055980,10/02/2025 07:08:33 ,Position 140,
-48.38725280,-27.44140243,2.40,9.33407974,10/02/2025 07:08:34 ,Position 141,
-48.38725280,-27.44137382,2.10,11.26015949,10/02/2025 07:08:35 ,Position 142,
-48.38724517,-27.44134330,2.30,11.72315979,10/02/2025 07:08:36 ,Position 143,
-48.38724517,-27.44131278,2.40,12.72323989,10/02/2025 07:08:37 ,Position 144,
-48.38724899,-27.44127655,2.00,13.76035976,10/02/2025 07:08:38 ,Position 145,
-48.38724899,-27.44123840,2.30,14.22336006,10/02/2025 07:08:39 ,Position 146,
-48.38724899,-27.44116401,3.00,15.68644046,10/02/2025 07:08:41 ,Position 147,
-48.38724899,-27.44112396,2.90,16.09387969,10/02/2025 07:08:42 ,Position 148,
-48.38724517,-27.44108009,3.10,16.13092041,10/02/2025 07:08:43 ,Position 149,
-48.38724136,-27.44104003,3.20,16.70503997,10/02/2025 07:08:44 ,Position 150,
-48.38723754,-27.44099998,2.90,15.90867996,10/02/2025 07:08:45 ,Position 151,
-48.38723373,-27.44096374,2.80,15.64939975,10/02/2025 07:08:46 ,Position 152,
-48.38722229,-27.44092369,3.00,15.11231994,10/02/2025 07:08:47 ,Position 153,
-48.38721466,-27.44088745,3.00,15.50123977,10/02/2025 07:08:48 ,Position 154,
-48.38721084,-27.44085121,2.50,13.70480060,10/02/2025 07:08:49 ,Position 155,
-48.38720703,-27.44082450,2.90,10.42676067,10/02/2025 07:08:50 ,Position 156,
-48.38719558,-27.44076538,2.90,11.33423995,10/02/2025 07:08:52 ,Position 157,
-48.38719177,-27.44074058,3.00,10.68603992,10/02/2025 07:08:53 ,Position 158,
-48.38718414,-27.44071578,3.10,9.59335994,10/02/2025 07:08:54 ,Position 159,
-48.38718032,-27.44069671,2.90,9.24147987,10/02/2025 07:08:55 ,Position 160,
-48.38716888,-27.44067192,3.10,8.63031959,10/02/2025 07:08:56 ,Position 161,
-48.38716125,-27.44064712,4.10,9.50076007,10/02/2025 07:08:57 ,Position 162,
-48.38715362,-27.44062805,4.10,8.31547927,10/02/2025 07:08:58 ,Position 163,
-48.38714981,-27.44061279,3.90,7.38948011,10/02/2025 07:08:59 ,Position 164,
-48.38713836,-27.44059562,3.70,6.83387994,10/02/2025 07:09:00 ,Position 165,
-48.38713455,-27.44058418,3.70,5.40784025,10/02/2025 07:09:01 ,Position 166,
-48.38713455,-27.44057083,3.60,1.68531999,10/02/2025 07:09:03 ,Position 167,
-48.38713455,-27.44056320,3.70,1.98164005,10/02/2025 07:09:04 ,Position 168,
-48.38713455,-27.44055557,4.00,3.81511993,10/02/2025 07:09:05 ,Position 169,
-48.38713073,-27.44054031,4.40,5.94492006,10/02/2025 07:09:06 ,Position 170,
-48.38713073,-27.44051933,4.50,8.70440006,10/02/2025 07:09:07 ,Position 171,
-48.38712692,-27.44049453,4.60,10.38971996,10/02/2025 07:09:08 ,Position 172,
-48.38713073,-27.44046783,4.00,9.87115955,10/02/2025 07:09:09 ,Position 173,
-48.38713073,-27.44044113,3.80,10.87123966,10/02/2025 07:09:10 ,Position 174,
-48.38712692,-27.44041252,2.80,12.46395969,10/02/2025 07:09:11 ,Position 175,
-48.38711929,-27.44037628,2.80,14.76043987,10/02/2025 07:09:12 ,Position 176,
-48.38710021,-27.44030761,2.50,14.16779994,10/02/2025 07:09:14 ,Position 177,
-48.38708496,-27.44026947,3.20,15.48271942,10/02/2025 07:09:15 ,Position 178,
-48.38707351,-27.44023132,3.60,16.51984024,10/02/2025 07:09:16 ,Position 179,
-48.38705825,-27.44019126,3.30,17.09395980,10/02/2025 07:09:17 ,Position 180,
-48.38704681,-27.44014739,2.90,18.13108062,10/02/2025 07:09:18 ,Position 181,
-48.38703918,-27.44010353,2.80,18.31628036,10/02/2025 07:09:19 ,Position 182,
-48.38702774,-27.44006156,2.60,17.14952087,10/02/2025 07:09:20 ,Position 183,
-48.38701629,-27.44001960,2.30,16.85320091,10/02/2025 07:09:21 ,Position 184,
-48.38700866,-27.43998336,1.70,16.11240005,10/02/2025 07:09:22 ,Position 185,
-48.38700485,-27.43994331,1.00,15.96424007,10/02/2025 07:09:23 ,Position 186,
-48.38698959,-27.43987274,1.00,13.74184036,10/02/2025 07:09:25 ,Position 187,
-48.38698577,-27.43984603,0.50,8.85256004,10/02/2025 07:09:26 ,Position 188,
-48.38697433,-27.43983268,0.80,3.77807998,10/02/2025 07:09:27 ,Position 189,
-48.38697052,-27.43982505,1.40,1.42603993,10/02/2025 07:09:28 ,Position 190,
-48.38696670,-27.43982315,1.60,0.20371999,10/02/2025 07:09:29 ,Position 191,
-48.38696670,-27.43982315,1.80,0.07407999,10/02/2025 07:09:30 ,Position 192,
-48.38696670,-27.43982315,2.20,0.05556000,10/02/2025 07:09:31 ,Position 193,
-48.38696670,-27.43982124,2.50,0.07407999,10/02/2025 07:09:32 ,Position 194,
-48.38696289,-27.43981933,2.70,0.29631998,10/02/2025 07:09:33 ,Position 195,
-48.38696289,-27.43981170,2.90,4.81519985,10/02/2025 07:09:34 ,Position 196,
-48.38695907,-27.43977928,2.90,7.00055980,10/02/2025 07:09:36 ,Position 197,
-48.38696289,-27.43976593,2.90,4.64851999,10/02/2025 07:09:37 ,Position 198,
-48.38696670,-27.43975639,2.60,3.11135983,10/02/2025 07:09:38 ,Position 199,
-48.38696670,-27.43975257,2.60,1.87052001,10/02/2025 07:09:39 ,Position 200,
-48.38697052,-27.43974113,2.90,4.98188018,10/02/2025 07:09:40 ,Position 201,
-48.38699340,-27.43972969,2.60,9.66743946,10/02/2025 07:09:41 ,Position 202,
-48.38702011,-27.43972015,3.10,11.85280036,10/02/2025 07:09:42 ,Position 203,
-48.38706588,-27.43972396,3.20,16.05684089,10/02/2025 07:09:43 ,Position 204,
-48.38710784,-27.43973159,3.40,16.26055908,10/02/2025 07:09:44 ,Position 205,
-48.38715362,-27.43974494,3.30,16.05684089,10/02/2025 07:09:45 ,Position 206,
-48.38724899,-27.43976783,3.30,19.18671989,10/02/2025 07:09:47 ,Position 207,
-48.38729858,-27.43977737,3.40,18.40887832,10/02/2025 07:09:48 ,Position 208,
-48.38734817,-27.43978309,2.50,17.37175941,10/02/2025 07:09:49 ,Position 209,
-48.38740158,-27.43979263,2.50,18.42739868,10/02/2025 07:09:50 ,Position 210,
-48.38745117,-27.43979644,3.00,17.57547950,10/02/2025 07:09:51 ,Position 211,
-48.38750076,-27.43980026,3.90,15.94571971,10/02/2025 07:09:52 ,Position 212,
-48.38754272,-27.43980407,4.50,14.51968002,10/02/2025 07:09:53 ,Position 213,
-48.38758468,-27.43980598,4.80,13.92704010,10/02/2025 07:09:54 ,Position 214,
-48.38762664,-27.43980598,4.90,16.40872001,10/02/2025 07:09:55 ,Position 215,
-48.38768005,-27.43980407,4.90,19.96455955,10/02/2025 07:09:56 ,Position 216,
-48.38781356,-27.43979644,5.60,24.81679916,10/02/2025 07:09:58 ,Position 217,
-48.38787841,-27.43978881,6.90,24.89087867,10/02/2025 07:09:59 ,Position 218,
-48.38794708,-27.43977546,7.70,24.68716049,10/02/2025 07:10:00 ,Position 219,
-48.38801956,-27.43976020,8.00,25.61315917,10/02/2025 07:10:01 ,Position 220,
-48.38808822,-27.43973922,7.70,26.61323928,10/02/2025 07:10:02 ,Position 221,
