Time (s);Axial;Horizontal;Vertical
1.800595238;0.011653649;0.004517376;-0.004268593
1.800793651;-0.005612513;-0.005043463;-0.001817352
1.800992063;0.004566087;-0.009196837;-0.003799802
1.801190476;-0.015032476;0.006367683;-0.002299911
1.801388889;0.002859539;-0.000519708;-0.003054148
1.801587302;0.008687405;0.004741724;-0.003947026
1.801785714;-0.006421378;-0.000568201;0.009572202
1.801984127;0.015809866;0.017632324;0.002006286
1.80218254;-0.000720771;0.003935664;-0.005777723
1.802380952;0.000109142;0.001037511;-0.000723428
1.802579365;0.013514707;-0.012752061;-0.004725522
1.802777778;-3.58427E-05;0.004154063;-0.001457638
1.80297619;0.015628973;0.000594828;-0.00365389
1.803174603;-0.007531555;0.004671435;-0.00592137
1.803373016;0.006385194;-0.004908704;-0.019959933
1.803571429;-0.016056092;-0.010176521;0.012801939
1.803769841;0.00292291;0.009507689;0.000399464
1.803968254;0.007721568;-0.014349465;0.008050137
1.804166667;-0.003349913;0.011475238;0.004497701
1.804365079;-0.001101563;-0.00361129;-0.018005973
1.804563492;0.012990849;-0.018419211;-0.006541616
1.804761905;0.000545381;-0.01054404;0.014009052
1.804960317;-0.000197882;-0.015504715;-0.004788822
1.80515873;0.014058644;0.005303405;0.001009816
1.805357143;-0.00447757;-0.000282177;0.009989076
1.805555556;-0.017961563;0.004733226;-0.003460116
1.805753968;0.011991682;3.39218E-05;-0.004431612
1.805952381;-0.000736816;0.004459798;0.004562312
1.806150794;-0.011802787;0.000124092;0.008736068
1.806349206;0.000285244;0.004586592;-0.008928186
1.806547619;0.010247717;-2.75045E-05;0.0113303
1.806746032;-0.005816305;0.004664443;0.001794272
1.806944444;-0.010615529;-0.00020681;-0.005176252
1.807142857;0.01868126;0.005134116;0.012085253
1.80734127;-0.003419103;-0.015168217;0.013029629
1.807539683;0.001259672;0.021237551;-0.003354973
1.807738095;-0.002947973;-0.005305649;-0.002317375
1.807936508;0.000777511;-0.006687757;-0.00400061
1.808134921;-0.002678385;-0.004248895;0.001066917
1.808333333;0.000357984;-0.008361854;0.016437107
1.808531746;-0.002061641;0.003237433;0.00584858
1.808730159;-0.00011787;0.00428507;-0.006634122
1.808928571;-0.001798162;-0.009253804;0.008606368
1.809126984;-0.000618664;-0.004250725;0.004644745
1.809325397;-0.00040937;0.004682153;-0.007395691
1.80952381;-0.01430217;0.000880405;0.01333397
1.809722222;-0.004609087;0.016547303;-0.002180046
1.809920635;0.001991315;-0.010236722;-0.002636141
1.810119048;0.012613846;-0.001166698;-0.003410226
1.81031746;-0.001535548;-0.010693979;-0.002349979
1.810515873;-0.000829028;0.002228688;-0.003557331
1.810714286;-0.001253368;0.004756003;-0.002228207
1.810912698;-0.00031265;-0.006236226;-0.003599352
1.811111111;-0.002568314;-0.007307385;-0.002268261
1.811309524;0.002220219;0.003263793;-0.003556675
1.811507937;-0.014484567;0.012098498;-0.002310819
1.811706349;0.004532794;0.010234344;-0.003344185
1.811904762;0.007677732;-0.001628869;-0.003145224
1.812103175;-0.006402759;0.004978231;0.010395342
1.812301587;0.003990097;0.000549994;-0.013551659
1.8125;0.009123014;0.00276935;0.008086258
1.812698413;0.004938802;-0.014322673;0.001496547
1.812896825;0.007892909;0.005707192;0.009800726
1.813095238;-0.016260387;-0.000268568;-0.003760344
1.813293651;0.003579622;0.004449173;-0.002973742
1.813492063;-0.009281235;0.000711139;-0.003025657
1.813690476;-0.017838133;-0.001226571;0.00228911
1.813888889;-0.017774403;-0.022936863;0.020492249
1.814087302;-0.007451599;0.014028582;-0.011952168
1.814285714;0.001822492;-0.005265024;-0.008891052
1.814484127;-0.002985103;-0.00393238;-0.000738806
1.81468254;0.000607168;0.005140576;-0.00414688
1.814880952;-0.002333885;0.000725667;-0.001805729
1.815079365;0.016289378;0.002280242;0.012026482
1.815277778;-0.004975596;-0.013792527;-0.004215962
1.81547619;0.005331202;0.003802589;-0.001733369
1.815674603;0.010740692;-0.020787758;-0.004361815
1.815873016;-0.002566634;-0.002749269;-0.000933355
1.816071429;-0.000580652;-0.001878959;-0.006150014
1.816269841;-0.001119936;0.015950996;0.007662826
1.816468254;-0.001194032;-0.001534045;0.00559538
1.816666667;-0.000526035;-0.007134774;-0.007233328
1.816865079;-0.001625927;0.006627168;0.011517459
